hai,hey
pilih,select
tua,old
sedih,sad
ella,Ella.
elah,"Idiolect, Oh"
orangnya,People
teori,theory
berhenti,stop
nasi,rice
mending,Better
entar,later
sebelah,adjacent
ingat,remember
dekat,"close, near"
bobok,sleep
barang,goods
gigi,tooth
kira,think
abis,finish
diam,Silence
gws,Get Well Soon
dikasih,given
bos,boss
teman,friend
yg,which
bagaimana,how
tada,
games,Games
pohon,tree
mantap,steady
cetak,Print
beberapa,a number of
pegang,hold
anjing,dog
isi,Fill
er,Er
sesuai,in accordance
deket,Near
sayur,vegetable
inilah,This is
mancing,fishing
lima,five
noah,Noah
tangan,hand
artinya,it means
kunci,key
sekolah,school
slank,Slank
menang,win
telah,has
pa-pa,Pa
ngelihat,"Seeing, looking"
kagak,not
jago,champion
review,review.
cewek,girl
horor,Horror
kirain,Thought
ceritanya,the story
tanpa,without
susu,milk
klik,click
gampang,easy
hati-hati,careful
hade,
iro,
cowok,guy
pikir,think
ngelag,Ngelag
kaki,foot
lex,
gambar,picture
bunga,flower
dewi,goddess
disuruh,Being told
gelap,dark
dimas,
meledak,"explode, irrupt"
suruh,Saying
dipakai,Worn
back,Back
ta,"tantalum, ta, atomic number 73"
sono,Go away
demi,For the sake of
itulah,that's
mu,your
dayung,paddle
gelas,glass
nyampe,Arrived
gas,gas
boboiboy,A cartoon character form a cartoon serial Boboiboy
doa,prayer
terjadi,occur
trust,Trust
padahal,even though
kupu-kupu,butterfly
amin,Amen.
dunia,world
engkau,you
temen,Friends
berdua,together
berusaha,"attempt, try"
dateng,Dateng
soal,question
muka,face
hebat,great
wortel,carrot
mimpi,dream
rasanya,it feels like
nia,TYPO
baju,dress
bersih,clean
lantai,floor
jawab,answer
silakan,please
sekalian,"all, including"
seorang,a person
gaya,style
arah,direction
wes,Done (Javanese)
penguin,penguin
tips,Tips
anu,Anu.
hm,Hmmm
ngomongin,talking
asal,origin
cie,Cie
senin,Monday
sehat,healthy
goreng,fry
uang,money
kubur,tomb
oli,oil
bakso,meatball
ne,
dibawa,brought
duluan,first
terserah,up to you
kangen,miss
berani,brave
menurut,according to
bodoh,stupid
bobo,Bobo
map,folder
bahwa,that
zenbu,
dengar,hear
siang,afternoon
news,News
kakak,older brother
ngantuk,sleepy
berenang,swimming
keh,"TYPO, Ok"
tim,team
ayam,chicken
senyum,smile
hantu,ghost
loncat,jump
rasa,flavor
ken,Ken.
segala,all
kuat,strong
nani,
duh,Duh
dibuka,Opened
ketika,when
panjang,long
baterai,battery
timing,
gamenya,Game
noh,Noh
gitulah,Through it
kode,code
ungu,purple
kedua,second
dimakan,eaten
ride,Ride
kimia,"chemistry, chemical science"
supaya,So
terbang,fly
siap-siap,get ready
friend,Friend
tanda,sign
bau,smell
kalah,lost
mi,Mi.
right,
ketik,type
emangnya,TYPX
kuda,horse
mirip,similar
apanya,what
tetapi,but
mikir,thinking
wih,Expression of amazement
aw,Aw.
ujung,end
sekian,So much
ngapa,why
pusing,dizzy
gan,Bro
ye,Yes
lho,"Idiolect, questioning something, confuse expression"
besar,big
sedikit,a little
lancar,fluent
erabare,
kini,now
nakereba,
erabeba,
red,
ai,Ai.
diem,Shut up
muah,Muah
lepas,free
coba-coba,try try
look,Look.
sibuk,busy
cocok,suitable
mean,Mean.
ngaku,Confess
beban,burden
bagi,"for, divide"
pake,wear
sama-sama,You're welcome
orang-orang,people
manis,sweet
kono,
night,Night
telat,late
koko,Koko
pula,also
cinta,love
gini-gini,Gini-gini
bersama,together
senang,happy
mencari,look for
find,Find.
warnanya,color
jungle,
bakar,burn
minyak,oil
mengerti,understand
indah,beautiful
jeng,
justru,precisely
pa,Look
wanna,
barusan,just now
setan,Devil
ngomongnya,Talking
angin,wind
tanah,land
kyle,
sulit,difficult
kebanyakan,most
that's,
kembali,return
desa,village
translate,Translate
zeta,Zeta
dikejar,Chased
secara,in fact
apapun,whatever
cepetan,hurry
adanya,existence
dibilang,said
selama,During
walaupun,although
down,Down
hitam,black
tiap,each
api,fire
zombie,
joe,Joe
toko,shop
baik-baik,fine
kepada,to
goblok,Stupid
segitu,Such
kesana,Going there
membuat,make
lumayan,reasonable
versi,version
tetew,
panik,panic
tombol,knob
wanita,woman
they,
hingga,until
seven,seven
samping,side
maka,"consequently, accordingly"
kabur,blurry
buku,book
kulit,skin
wa,Wa
duduk,sit
haduh,Ouch
dare,
timur,east
kamar,room
ajalah,Ajalah
akunya,"Me, myself"
mb,Mb.
tew,
nyala,light up
waktunya,Time
inggris,England
oi,Oi
cilor,Indonesian food created with tapioca starch and egg
masak,cook
suatu,something
sebut,Call
nenek-nenek,grandmother
selain,besides
michael,Michael
hana,"abandoned, derelict, deserted"
daripada,than
khair,Khair
istri,wife
nike,
teknik,technique
sumpah,oath
wek,Expression of disgust
wae,Wae
mainin,Play it
ton,Ton.
kupu,Butterfly
sini-sini,here here
sip,OK
teng,Teng
sebenernya,actually
bola,ball
goto,
detik,second
ngomong-ngomong,by the way
kanadete?,
futashika,
airnya,The water
cakep,handsome
todoketakute?,
helm,Helm
bom,bomb
dengerin,Listen
dedes,Dedes
kebalik,
crush,Crush
steam,Steam.
merasa,feel
cecak,lizard
posisi,position
segini,Some
sahabat,friend
message,
ayu,Ayu.
sebelumnya,previously
dada,chest
berubah,changed
keren-keren,cool cool
le,
inventory,Inventory
izin,permission
bulan,month
sepertinya,it seems like
syaikh,Shaykh
asa,hope
gagal,fail
school,School
main-main,While
mesin,machine
kebo,Kebo.
eko,Eko.
tangga,ladder
meeting,Meeting
denger,Listen
toki,
jepang,Japan
kesel,annoyed
twitter,Twitter
klip,clip
kerjaan,work
saku,pocket
namida,
hijau,green
permisi,excuse me
akhir-akhir,Lately
khai,Khai.
eek,Eek.
big,
metode,method
saki,"sake, saki, rice beer"
amat,very
kyuhyun,
musik,music
tank,tank
kipli,
kaze,
iwan,Iwan
barangnya,The item
baiklah,Okay
karashite,
zat,substance
kill,Kill
natta,
hatte,
narasu,
keluarga,family
kitte,
mukou,
yori,
mune,
tetep,Tetep.
korogaru,
tsuyoku,
nijindeta,
tsurai,
moeru,
yamima,
egaku,
akhir,end
awalnya,Initially
tulis,"writing, authorship, composition, penning"
nulis,write
tsumazuku,
todoroke,
kuchisaki,
terashitara,
kazoete,
azayaka,
sound,
going,Going.
namun,however
kelas,class
nilai,"mark, score"
acara,"program, event"
ono,Ono
guru,"staff, faculty"
manusia,human
ngobrol,Chat
dzeko,
forever,Forever
keke,Keke
pintunya,Does the door
jamur,mold
supercat,Supercat
yakin,convinced
lompat,"jump, jumping"
lampu,light
pindah,move
tata,system
ngapa-ngapain,Ngapa-do it
non,non
tentu,of course
tergantung,depends
terlihat,seen
ruang,room
rumahnya,His house
looks,
angka,number
adik,younger brother
halus,fine
lele,catfish
lama-lama,For a long time
tulisannya,Writing
jujur,honest
salam,regards
wedding,Wedding
ane,Ane.
kaca,glass
watching,Watching.
berat,heavy
putar,Play
file-nya,the file is
ka,
sempat,Had
indonesian,Indonesian
turu,Turu.
bagian,part
pejuang,Fighters
istirahat,rest
entah,who knows
abang,Abang
kepala,head
surya,Sun
file-file,file-file
bareng-bareng,together
ma,MA.
membership,
ditaruh,placed
bagus-bagus,"good, good"
tunggu-tunggu,
laper,Laper
pertanyaan,question
buah,fruit
tukang,craftsman
kai,OK
bercanda,Kidding
kosong,blank
share,Share
hitori,
pesan,message
naikin,Ride
sempet,Sempet
smelter,Smelter
pagi-pagi,early in the morning
asik,Asik
aware,
menunggu,waiting
files,
iyalah,of course
sok,Sok
mencoba,try
bapaknya,His father
seseorang,somebody
nugget,
setia,loyal
bantu,help
kira-kira,approximately
bahkan,even
nyata,real
musuh,enemy
buset,Buset
ngajak,invite it
tuhan,lord
bahagia,happy
finally,Finally
rusak,damaged
bocah,"Boy, little girl"
koboi,cowboy
tungguin,Wait
senya,
tai,
chatnya,chat
ijo,
rambut,hair
ikannya,Fish
alat,tool
musubeba,
racing,
layar,screen
tagaenai,
khas,typical
black,Black
ilang,lost
saudara,you
bertiga,Threesome
yellow,
same,
asli,original
read,Read
dingin,cold
soko,
nyuruh,Try it
pare,sour gourd
having,
ki,key
kepencet,Kepet
ke-4,
pc,
bekerja,work
why,
kata-kata,
nyam,Nyam
kambingnya,
anything,
hewan,animal
temennya,Friends
namaku,My name is
putri,daughter
aceh,Aceh
khan,Khan.
kota,city
penuh,full
satunya,Only
tugas,Duty
dibaca,be read
aneh-aneh,"Weird, weird"
sode,
genka,
tsuki,
soete,
kattou,
koso,
soul,
ide,idea
teman-teman,friends
sumpil,
lem,glue
tertutup,closed
otoshita,
tokasu,
ginshu,
kurai,grain
kanjou,
nagai,
makasu,
shinku,
menarik,interesting
tipe,type
pop,Pop
maksud,meaning
mulut,mouth
monyet,monkey
chan,Chan
blue,
coming,
janji,promise
agar,so that
ruangan,room
nyoba,Nyoba
sepi,quiet
les,lace
kia,
syuting,shoot
lapar,hungry
respon,response
kawan,Friends
iso,Can do (Javanese)
heran,"care, attention, aid, tending"
halo-halo,
kasur,mattress
nembak,Shoot
dadah,"cannabis, marijuana, marihuana, ganja"
jalan-jalan,go for a walk
jalannya,Walk
sport,sport
ditutup,Closed
nyah,
naik-naik,rise up
net,net
smp,junior high school
cake,Cake
nek,Nek
mana-mana,Everywhere
intro,
after,
yusuf,Yusuf
mendingan,passable
bantuin,Helpful
sengaja,on purpose
diatas,on
lagunya,The song
hutan,Forest
fukai,
bedanya,The difference
semangka,watermelon
cepet-cepet,Cepet
jodoh,partner
under,
champion,
art,Art
libur,"vacation, holiday"
kuncinya,Key
cepat-cepat,Hurry up
sinyal,signal
takutnya,Fear
macam,type
kedengeran,Remarintan
genkai,
nono,
mesti,must
simi,Simi.
beni,
telepon,phone
jijik,"dirty, soiled, unclean"
sekitar,around
koukai,
takai,
a-a-a-a,A-A-A-A
meski,
sosial,social
biarin,Biarin
um,um
estetik,"aesthetic, esthetic, aesthetical, esthetical"
bebas,free
demo,Demo
buang,throw away
sopan,"correctly, right, aright"
khusus,expressly
tengah-tengah,middle
mekanik,Mechanical
killer,
mom,Mom
hadiah,present
mode,mode
nasinya,rice
naon,Naon
sabar-sabar,be patient
truk,truck
tante,aunt
kue,cake
sang,the
pasir,sand
perfect,
tubuh,body
udahan,Done
bawang,onion
anna,
momen,moment
canda,Canda
peduli,care
singa,lion
sosok,figure
tame,
hikari,
rela,willing
bobby,
hayo,Hayo
iyo,Iyo
ngecek,check out
emosi,emotion
janganlah,Don't
bisanya,usually
tekan,press
bawahnya,
kejadian,"incident, event"
daro?,
spike,Spike
tooku,
watare,
player,player
selanjutnya,next
adek,younger brother
obat,drug
heh,Hey
itami,
ikari,
kesshiki,
hibiki,
nigedasu,
days,Days.
muter,Spin
lagi-lagi,again and again
dakishimete,
kefir,Kefir
menonton,watch
nge-review,Review
kitanjanai,
generator,generator
step,
ilmu,knowledge
crazy,Crazy.
ketiga,third
pacar,"boyfriend, girlfriend"
ko,Ko
bales,reply
mie,
ngechat,Chatting
aduk,"blend, flux, mix, conflate, commingle, immix, fuse, coalesce, meld, combine, merge"
enno,Enno.
untung,profit
perut,stomach
hu,Hu.
tambah,plus
pink,Pink
hancur,destroyed
pegangan,"apprehension, arrest, catch, collar, pinch, taking into custody"
rajin,diligent
seri,series
keras,hard
topik,topic
indo,Indo
nge-rap,Rap.
notice,
beach,
sebuah,a
ganteng,handsome
badan,body
detail,Details
soto,Soto.
kebetulan,as it happens
jeruk,orange
max,Max
palu,hammer
suami,husband
bunuh,Kill
mukanya,His face
yume,
fw,
pintar,clever
lakukan,do
green,
fitur,feature
masalahnya,The problem is
wis,Wis.
join,
angkat,lift
efek,effect
shite,
yoga,Yoga.
opo,OPO
neh,Neh
kegedean,too big
cup,Cup
star,
kece,
termasuk,including
ee,Ee.
lebay,Overreacting
tetangga,neighbor
tebak,guess
tersebut,the
jendela,window
ngerjain,working
goyang,shake
bikinin,Make it
gitar,guitar
caca,Caca
cahaya,light
isu,"publish, bring out, put out, issue, release"
apalah,Apalah
wajah,face
ditunggu,awaited
tanggal,date
akari,
bete,
sule,Sule
sugiru,
kasar,Rough
atasnya,over it
version,Version.
pisang,banana
dilihat,Judging
telur,egg
cebok,
moderator,moderator
grup,group
daita,
dake,
awan,cloud
zankyou,
aimai,
fumen,
isinya,its contents
bacanya,read it
kotak,box
kocak,Lociously
sampah,rubbish
iki,iki.
rap,Rap.
pelan-pelan,slowly
ahmad,Ahmad
tepat,appropriate
misi,mission
roti,bread
tadoru,
seikai,
sd,SD
error,error
hoi,Hoi.
nur,Nur.
cash,Cash
kyt,Kyt.
coklat,"brown, brownish, chocolate-brown, dark-brown"
komen,Comment
tas,bag
kemana-mana,Everywhere
misalkan,Suppose
latihan,practice
ngetes,Ngetes
semut,ant
juta,million
kenapa-napa,WHY-NAPA.
muda,young
room,Room
normal,straight
base,Base
baru-baru,"mahoe, majagua, mahagua, balibago, purau, hibiscus tiliaceus"
kodok,frog
ngepet,A dark ritual where you summon a pig to steal other's money or treasure 
heel,Heel
meja,table
pasrah,resigned
karakter,character
pemalu,bashful
rame,Rame.
king,
cuci,wash
baca-baca,read
keju,cheese
ngakak,laugh out loud
utuh,intact
anaknya,His child
ski,Ski
polisi,police
sadar,aware
pukul,time
babi,pig
bosen,bored
nyangkut,stuck
melakukan,To do
bangga,"gallant, lofty, majestic, proud"
nemu,found
tembok,wall
pendek,short
mimi,Mimi.
umur,age
nama-nama,What is the name
ucup,
pesawat,aircraft
jejak,"chase, chase after, trail, tail, tag, give chase, dog, go after, track"
kopi,coffee
hard,
hammer,Hammer
sehingga,so that
kemudian,then
bunda,mother
muhammad,Muhammad
matanya,His eyes
karya,creation
daging,"fiber, fibre, vulcanized fiber"
kebuka,Bro
clean,
girls,
pancingan,"inducement, fishing rod"
otak,brain
escape,Escape
nelpon,Call
jawabannya,
napa,Napa.
akun,account
bahas,discuss
malu,"blush, crimson, flush, redden"
tayo,
hamil,pregnant
foto-foto,taking pictures
sungguh,"barely, hardly, just, scarcely, scarce"
reza,Reza
beautiful,
heboh,up in arms
tadinya,"once, formerly, at one time, erstwhile, erst"
pantai,beach
kontrol,control
nu,nu
mahal,expensive
merah-merah,
bunyi,sound
tembak,"shooting, shot"
bikinnya,make it
puzzle,Puzzle
tanaman,plant
position,
mendengar,hear
dua-duanya,both
subway,
hasil,results
yoi,"yes, exactly"
alis,"eyebrow, brow, supercilium"
nyawa,life
banyak-banyak,much
jangkar,anchor
bermain,played
saling,each other
lengket,sticky
care,Care.
led,LED
berantem,fight
seluruh,Own
suhu,temperature
santai-santai,
berisik,noisy
mengambil,take
imut,tiny
default,
menu,"menu, bill of fare, card, carte du jour, carte"
benny,
jiwa,soul
otw,OTW.
penasaran,curious
listrik,electricity
kamunya,Kamunya
tamat,"end, terminate"
server,Server
mengapa,why
die,
check,Check
matiin,Matiin
ribet,complicated
disana,there
gerak,Motion
hear,
pikiran,thought
tangannya,His hand
suku,ethnic group
shadow,Shadow
boleh-boleh,"Okay, okay"
job,
lord,
gambarnya,picture
label,label
tahulah,
huruf,letter
kisah,story
yanto,
wc,WC
contoh,example
enam,six
city,City
barry,
sukanya,Look
vs,vs.
okeh,Okay
kya,Kya.
lari-lari,run
kl,
understand,
titik,point
rencana,plan
antara,Among
semakin,the more
sun,
betul-betul,"true, true"
berdiri,stand up
besoknya,next day
angel,Angel.
sari,"sari, saree"
datsun,Datsun
magang,
skia,
ahli,expert
hoah,
ora,
berhasil,"contract, take, get"
marah-marah,
dc,DC
brown,
duyung,Mermaid
trik,
masing-masing,each
anak-anak,"doll, dolly"
huhu,
ketahuan,found out
botol,bottle
mbah,
ning,Ning.
tenet,Tenet
resep,"recipe, formula"
sel,cell
them,
kabar,news
swag,
resmi,formal
lemah,hardscrabble
belakangnya,behind it
holiday,
muna,
panggil,Call
jokowi,Jokowi
al,Al.
ndah,Ndah
maupun,And
wajib,must
mei,May
gitu-gitu,That's so
woah,Woah.
darah,blood
meong,Meong
walau,although
panas,warm
sensor,Sensor
iman,faith
nada,tone
bun,Bun.
eight,
stage,Stage.
piring,dish
nose,
tikus,mouse
nikah,marry
ujian,"examination, testing"
dibikin,contrived
nation,
sobat,Suddenly
tarik,"pull, pulling"
nyasar,
invite,
matahari,sun
laku,in demand
skripsi,essay
kuliah,"lecture, lecturing"
rules,Rules
kamera,"camera, photographic camera"
scream,
believe,
then,
ditanya,Asked
manggil,Call
energi,energy
nengok,look
berita,news
setuju,agree
roro,Roro.
ganggu,disturb
tu,Tu.
shoot,
yi,Yi
wuih,Wuih.
kehidupan,life
mantra,Mantra
baduy,Baduy.
shop,
flying,
ngeri,Horrified
saatnya,It's time
ikutin,Follow it
dimengerti,Understandably
inikah,Inikah.
lawan,"against the clock, against time"
naga,"dragon, flying dragon, flying lizard"
deg-degan,
tanda-tanda,signs
keluarin,Exciting
siapa-siapa,Who
segera,quick
minus,
emas,"gold, golden, gilded"
kejar,"chase, chase after, trail, tail, tag, give chase, dog, go after, track"
sejak,since
tingkat,level
such,
sma,senior high school
fix,Fix
pupuk,"poultice, cataplasm, plaster"
gizi,Nutrition
kevin,
langit,sky
spanyol,
calon,candidate
drink,Drink
cabut,"blackjack, twenty-one, vingt-et-un"
mask,
nak,Son
ra,
zero,Zero
apel,apple
nungguin,Wait
bertanya,ask
maret,March
nyamuk,mosquito
tahan,stand
ngopi,drinking coffee
membaca,read
win,
tempe,
brand,Brand.
nana,Nana.
yey,Yey
nyaman,comfortably
buta,"blind, unsighted"
bajunya,
maling,burglar
farel,
absen,roll call
hiunya,Holiness
pengalaman,experience
puasa,fast
asing,foreign
prank,Prank.
kang,Kang.
baterainya,
lahir,born
kapalnya,Ship
utama,main
country,
sempurna,perfect
place,
account,
try,
masjid,Mosque
makhluk,creature
line,
noise,
wei,Wei.
angeles,Angeles
survei,survey
jarang,seldom
dicoba,tried
kunjung,visit
dance,Dance
oke-oke,"Okay, okay"
amazing,Amazing
seharusnya,"adultery, criminal conversation, fornication"
anggap,"assume, presume, take for granted"
bolehlah,may I
pro,pro
nabrak,
perang,"blond, blonde, light-haired"
videonya,Video
nginep,stay overnight
engke,
paket,package
zetta,
sehari,a day
jenis,type
keadaan,Lecturing
desain,design
raya,Raya
lilin,"candle, taper, wax light"
berikutnya,next
bertahan,endure
ngikutin,Ngetnut
hantunya,
