semangat	Enthusiasm, spirit, morale, zest
mbak	older woman titles (Javanese)
kemana	where to
takut	Be afraid
betul	Correct, right, true, really, very
serius	serious
selesai	done
bakal	will
ayah	Father
oleh	by
cukup	Enough, sufficient, quite
bingung	Bewildered, confused, panicky
suara	voice
cepet	fast
harusnya	Should be
mah	"Calling mom, ""ini mah"" this is just"
cepat	fast
sakit	sick
dalam	in, inside
kayla	Kayla.
bu	Miss
kah	"Idiolect, says to confirm things, ""ini kah?"" is this it ?"
sana	there
kiri	left
apaan	what (annoyed)
bahasa	Language
ternyata	it turns out
jatuh	fall
kurang	not enough
benar	correct
seperti	as
kecil	small
gede	Big
siap	ready
lanjut	carry on
perlu	need
ikan	Fish, meat
dapat	could
keluar	go out
tempat	the place
buka	open
begini	like this
cat	Paint
dimana	where
hilang	is lost
mundur	Retreat
apakah	is
cari	search
turun	down
neng	Calling younger woman
beneran	It's true
beli	buy
kemarin	yesterday
kak	Older sister or brother
akhirnya	Eventually
mami	Mommy
anda	You, your, yours
bohong	To lie, to tell a lie
belakang	behind
semoga	hopefully
merah	red
menjadi	Becomes
lama	long time
terlalu	too
masa	Period
malam	nocturnal
ndak	not
santai	relaxed
warna	color
tiga	three
jauh	far
cuman	Only
hihihi	Hihihi
gua	Me, I, cave
hidup	life
sebentar	a moment
penting	important
tenang	calm
kanan	right
pagi	morning
tengah	middle
tetap	permanent
lewat	pass, through
na	sodium, na, atomic number 11
pergi	go
lalu	then
ketemu	meet
aneh	strange
datang	come
saat	moment, while
selalu	always
tet	Tet.
udah-udah	Already, done
huhuhu	Hu Hu Hu
caranya	the method
allah	God
hujan	rain
pun	even (suffix)
anak	child
kata	say
kapan	when
kami	(exclusive) we
astaga	good grief
luar	outside, beyond
bangun	wake up
nanya	asking
cerita	story
senpai	Senpai
kesini	get over here
aman	safe
sambil	while
pulau	Island
donasinya	donation
biasanya	usually
setelah	after
kokh	TYPO, Firm, solid, strong
sering	often
ganti	change
ngetik	Typing
dragon	dragoon
tinggi	tall
bisa-bisa	can
taruh	put
bawa	bring
disitu	There.
putih	white
makanan	food
mata	eye
kek	Laughing
makin	more and more
kucing	cat
tanya	ask
bareng	with
ingin	want
yaudah	okay then
kena	Hit, got you
tes	test
pertama	first
jika	in case, just in case
ampun	Forgiveness
ketawa	Laugh
minta	ask for
melihat	Seeing, looking
mas	Title for man in their 20's to 40's
gws	Get Well Soon
selamat	safe
kubu	Stronghold, team
tiba-tiba	suddenly
laut	Sea
apalagi	especially
dapet	Dapet
bang	Bang
plastik	plastic
tau	know
yaitu	that is
belajar	study
maju	proceed
daun	Leaf
malah	rather
sebelum	before
pencet	push, press
ngambil	Take
agak	rather
sesuatu	something
parah	critical
kuning	yellow
tahun	year
bapak	father
dikit	little
weh	Informal way of calling someone
lari	run
tutup	closed
biru	blue
nomor	number
batu	stone
hati	"liver, ""hati-hati"" means careful"
ibu	Mother
beda	different
bintang	star
hiu	shark
lagu	song
nenek	grandmother
donasi	donation
ikut	follow
ada-ada	Silly
suaranya	his voice, her voice
hampir	almost
minggu	week
mohon	please
mari	let us
masalah	problem
really	Really
pulang	go home
nyanyi	singing
sayang	Dear
hal	Thing
ininya	This is (Suffix nya)
bukannya	instead
ku	my
kowe	You
percaya	believe
seru	exciting
nangis	cry
bener-bener	really
sebagai	as
lainnya	other
awas	watch out
gara-gara	Because of
diri	self
kenal	know
para	TYPX
where	WHERE
inget	remember
brush	Brush.
pintu	door
rezeki	Blessing
kambing	goat
foto	photo
es	ice
okay	Okay.
terakhir	final
mobil	car
kelihatan	Looks like
biji	seed
ela	Idiolect, person name
maunya	wants
serem	Scary
muncul	appear
mandi	bath
ulang	repeat
cek	check
asyik	fun
ting	Ting
setiap	every
sore	afternoon
burung	bird
menit	minute
kaya	rich
menang	win
kadang	sometimes
jago	champion
cantik	beautiful
teteh	Older woman title (Sundanese)
kerja	work
kalo	if
kapal	boat
kaget	startled
nyari	Looking for
sepatu	shoe
okelah	Okay
jelas	clear
capek	tired
jangan-jangan	perhaps
sedih	sad
empat	four
tentang	about
bobok	sleep
gigi	tooth
bagaimana	how
nene	TYPO
atuh	Idiolect, Ouch
mudah	easy
diambil	Taken
toh	Idiolect
mantap	steady
wes	Done (Javanese)
dek	Calling someone younger, deck
nunggu	waiting
telah	has
jadinya	so
marah	angry
seneng	Happy
barang	goods
mancing	fishing
sedang	currently
awal	beginning
mulu	always
males	lazy
tua	old
duit	money
ama	With
anjing	dog
fokus	focus
inilah	This is
jelek	bad
mending	Better
kirim	send
diam	Silence
mainnya	play
orangnya	People
dekat	close, near
abis	finish
kaki	foot
benar-benar	truly
itunya	That thing
entar	later
dikasih	given
bos	boss
beberapa	a number of
hari-hari	days
kira	think
cetak	Print
pa-pa	Pa
kayu	wood
kasihan	pity
fishing	Fishing
yg	which
pohon	tree
ngelihat	Seeing, looking
gampang	easy
nasi	rice
er	Er
demi	For the sake of
setengah	half
elah	Idiolect, Oh
tangan	hand
kunci	key
penguin	penguin
ga	Ga
teman	friend
isi	Fill
ceritanya	the story
itulah	that's
map	folder
ingat	remember
lima	five
klik	click
hati-hati	careful
berhenti	stop
sebelah	adjacent
deket	Near
hebat	great
sesuai	in accordance
review	review.
susu	milk
back	Back
gitulah	Through it
kupu-kupu	butterfly
pilih	select
engkau	you
seorang	a person
teori	theory
noah	Noah
dipakai	Worn
duluan	first
games	Games
sekolah	school
cowok	guy
disuruh	Being told
padahal	even though
sekalian	all, including
kuda	horse
cewek	girl
tanpa	without
nia	TYPO
teng	Teng
artinya	it means
pikir	think
meledak	explode, irrupt
boboiboy	A cartoon character form a cartoon serial Boboiboy
kakak	older brother
keh	TYPO, Ok
ella	Ella.
kirain	Thought
dunia	world
terjadi	occur
kagak	not
mu	your
nyampe	Arrived
dengar	hear
suruh	Saying
amin	Amen.
oli	oil
kubur	tomb
hm	Hmmm
pegang	hold
temen	Friends
gambar	picture
gas	gas
cie	Cie
ayam	chicken
slank	Slank
bersih	clean
silakan	please
gaya	style
bobo	Bobo
horor	Horror
bunga	flower
uang	money
sip	OK
muka	face
ngantuk	sleepy
kode	code
soal	question
gelap	dark
trust	Trust
mimpi	dream
ye	Yes
doa	prayer
baiklah	Okay
bahwa	that
siang	afternoon
ungu	purple
ta	tantalum, ta, atomic number 73
sono	Go away
baju	dress
asal	origin
arah	direction
goreng	fry
ketika	when
diem	Shut up
ngelag	Ngelag
dewi	goddess
bakso	meatball
kangen	miss
ngomongin	talking
baterai	battery
bersama	together
walaupun	although
sayur	vegetable
berusaha	attempt, try
tips	Tips
duh	Duh
segini	Some
turu	Turu.
siap-siap	get ready
mikir	thinking
orang-orang	people
dateng	Dateng
jawab	answer
ken	Ken.
tanda	sign
sedikit	a little
news	News
kuat	strong
kedua	second
gan	Bro
dayung	paddle
sehat	healthy
tim	team
friend	Friend
kini	now
pake	wear
cinta	love
berani	brave
bodoh	stupid
senyum	smile
dibuka	Opened
dibawa	brought
rasa	flavor
besar	big
rasanya	it feels like
anu	Anu.
panjang	long
gelas	glass
lantai	floor
kalah	lost
beban	burden
bagi	for, divide
senin	Monday
berenang	swimming
bau	smell
emangnya	TYPX
apanya	what
wek	Expression of disgust
terserah	up to you
aw	Aw.
mengerti	understand
eko	Eko.
noh	Noh
night	Night
desa	village
berdua	together
ride	Ride
ketik	type
senang	happy
pa	Look
cilor	Indonesian food created with tapioca starch and egg
oi	Oi
segala	all
dimakan	eaten
kebanyakan	most
maka	consequently, accordingly
akhir-akhir	Lately
tetapi	but
pusing	dizzy
lho	Idiolect, questioning something, confuse expression
barusan	just now
ngomongnya	Talking
ayu	Ayu.
hijau	green
eek	Eek.
menurut	according to
gamenya	Game
mi	Mi.
mirip	similar
ngapa	why
ngaku	Confess
hitam	black
amat	very
manusia	human
mean	Mean.
versi	version
kupu	Butterfly
mesin	machine
secara	in fact
kebo	Kebo.
supaya	So
terbang	fly
wih	Expression of amazement
justru	precisely
kembali	return
joe	Joe
wa	Wa
haduh	Ouch
hantu	ghost
loncat	jump
cocok	suitable
find	Find.
kabur	blurry
kulit	skin
airnya	The water
wortel	carrot
look	Look.
kepada	to
segitu	Such
daripada	than
bola	ball
jepang	Japan
kill	Kill
sama-sama	You're welcome
pula	also
tanah	land
dibilang	said
sini-sini	here here
lancar	fluent
setan	Devil
angin	wind
adanya	existence
membuat	make
wanita	woman
duduk	sit
mb	Mb.
selain	besides
main-main	While
lele	catfish
sekian	So much
muah	Muah
coba-coba	try try
indah	beautiful
dikejar	Chased
apapun	whatever
buku	book
waktunya	Time
teknik	technique
teman-teman	friends
toko	shop
ujung	end
lepas	free
down	Down
panik	panic
tombol	knob
sepertinya	it seems like
spike	Spike
translate	Translate
zeta	Zeta
kesana	Going there
ngomong-ngomong	by the way
angka	number
ai	Ai.
manis	sweet
baik-baik	fine
detik	second
buset	Buset
sibuk	busy
seven	seven
kamar	room
kimia	chemistry, chemical science
gini-gini	Gini-gini
minyak	oil
khai	Khai.
alat	tool
telat	late
warnanya	color
helm	Helm
dedes	Dedes
coklat	brown, brownish, chocolate-brown, dark-brown
timur	east
istri	wife
cakep	handsome
permisi	excuse me
zat	substance
adik	younger brother
jijik	dirty, soiled, unclean
mencari	look for
goblok	Stupid
samping	side
inggris	England
steam	Steam.
sempat	Had
babi	pig
selama	During
tiap	each
lumayan	reasonable
posisi	position
sahabat	friend
keren-keren	cool cool
surya	Sun
sulit	difficult
cepetan	hurry
berubah	changed
hingga	until
ajalah	Ajalah
nenek-nenek	grandmother
khair	Khair
sumpah	oath
penuh	full
menarik	interesting
izin	permission
yakin	convinced
non	non
ma	MA.
akunya	Me, myself
sebut	Call
mainin	Play it
bom	bomb
crush	Crush
cecak	lizard
denger	Listen
twitter	Twitter
tank	tank
akhir	end
abang	Abang
mencoba	try
bocah	Boy, little girl
api	fire
masak	cook
michael	Michael
wae	Wae
sebelumnya	previously
gagal	fail
musuh	enemy
tuhan	lord
bakar	burn
nyala	light up
suatu	something
sebenernya	actually
school	School
tetep	Tetep.
awalnya	Initially
going	Going.
jamur	mold
kosong	blank
adek	younger brother
koko	Koko
tangga	ladder
putar	Play
sempet	Sempet
meeting	Meeting
barangnya	The item
namun	however
ngobrol	Chat
ruang	room
bercanda	Kidding
dengerin	Listen
merasa	feel
keluarga	family
nulis	write
wedding	Wedding
file-nya	the file is
kepala	head
finally	Finally
ki	key
player	player
awan	cloud
yoi	yes, exactly
bulan	month
syaikh	Shaykh
kesel	annoyed
rumahnya	His house
indonesian	Indonesian
kepencet	Kepet
bekerja	work
tulis	writing, authorship, composition, penning
keke	Keke
ngapa-ngapain	Ngapa-do it
entah	who knows
sosial	social
demo	Demo
musik	music
tata	system
terlihat	seen
bareng-bareng	together
rusak	damaged
saudara	you
agar	so that
forever	Forever
tulisannya	Writing
kaca	glass
kai	OK
nyata	real
hewan	animal
putri	daughter
maksud	meaning
kawan	Friends
bermain	played
dada	chest
kerjaan	work
salam	regards
ane	Ane.
janji	promise
juta	million
ton	Ton.
metode	method
kelas	class
pindah	move
tentu	of course
istirahat	rest
sok	Sok
tungguin	Wait
black	Black
nek	Nek
hana	abandoned, derelict, deserted
ono	Ono
bagian	part
bagus-bagus	good, good
kira-kira	approximately
bahagia	happy
satunya	Only
tertutup	closed
dadah	cannabis, marijuana, marihuana, ganja
mana-mana	Everywhere
singa	lion
bisanya	usually
pink	Pink
reza	Reza
absen	roll call
nilai	mark, score
jujur	honest
asik	Asik
aceh	Aceh
pop	Pop
monyet	monkey
jalannya	Walk
khusus	expressly
klip	clip
iwan	Iwan
lama-lama	For a long time
menunggu	waiting
layar	screen
ilang	lost
ee	Ee.
kabel	cable
acara	program, event
pintunya	Does the door
tergantung	depends
watching	Watching.
buah	fruit
khan	Khan.
sepi	quiet
syuting	shoot
kasur	mattress
sengaja	on purpose
mesti	must
kefir	Kefir
foto-foto	taking pictures
guru	staff, faculty
berat	heavy
ditaruh	placed
bahkan	even
koboi	cowboy
chatnya	chat
dingin	cold
iso	Can do (Javanese)
iyo	Iyo
hancur	destroyed
kocak	Lociously
cuci	wash
inventory	Inventory
saku	pocket
lompat	jump, jumping
lampu	light
laper	Laper
bapaknya	His father
seseorang	somebody
bantu	help
ngajak	invite it
kota	city
jalan-jalan	go for a walk
takutnya	Fear
sopan	correctly, right, aright
pintar	clever
wajah	face
ngeri	Horrified
supercat	Supercat
share	Share
chan	Chan
sport	sport
smp	junior high school
bedanya	The difference
kedengeran	Remarintan
selanjutnya	next
tambah	plus
kotak	box
file-file	file-file
rambut	hair
aneh-aneh	Weird, weird
ide	idea
libur	vacation, holiday
mode	mode
obat	drug
aduk	blend, flux, mix, conflate, commingle, immix, fuse, coalesce, meld, combine, merge
iyalah	of course
nyoba	Nyoba
nembak	Shoot
jodoh	partner
buang	throw away
tante	aunt
nge-review	Review
bunuh	Kill
lebay	Overreacting
seblak	Seblak
asa	hope
halus	fine
tukang	craftsman
pesan	message
khas	typical
read	Read
namaku	My name is
les	lace
a-a-a-a	A-A-A-A
heh	Hey
nge-rap	Rap.
apalah	Apalah
pejuang	Fighters
pagi-pagi	early in the morning
ikannya	Fish
asli	original
tipe	type
mulut	mouth
net	net
diatas	on
lagunya	The song
semangka	watermelon
cepet-cepet	Cepet
simi	Simi.
biarin	Biarin
udahan	Done
momen	moment
saki	sake, saki, rice beer
kuncinya	Key
telepon	phone
um	um
bebas	free
mukanya	His face
naikin	Ride
nyuruh	Try it
tugas	Duty
respon	response
naik-naik	rise up
bantuin	Helpful
sosok	figure
rela	willing
days	Days.
perut	stomach
keras	hard
wis	Wis.
opo	OPO
cahaya	light
setia	loyal
nyam	Nyam
lem	glue
sang	the
ngecek	check out
lagi-lagi	again and again
hu	Hu.
seri	series
detail	Details
atasnya	over it
titik	point
matahari	sun
bertiga	Threesome
yusuf	Yusuf
mendingan	passable
hutan	Forest
tengah-tengah	middle
hayo	Hayo
ketiga	third
pacar	boyfriend, girlfriend
ngechat	Chatting
misi	mission
bosen	bored
otak	brain
escape	Escape
sensor	Sensor
ngikutin	Ngetnut
suci	chastely, virtuously
sekitar	around
naon	Naon
sabar-sabar	be patient
emosi	emotion
bales	reply
enno	Enno.
untung	profit
sebuah	a
kebetulan	as it happens
tetangga	neighbor
kebuka	Bro
kabar	news
perang	blond, blonde, light-haired
musuhnya	His enemies
pertanyaan	question
dibaca	be read
heran	care, attention, aid, tending
kue	cake
tubuh	body
tekan	press
max	Max
termasuk	including
cake	Cake
sinyal	signal
nasinya	rice
muter	Spin
menonton	watch
masalahnya	The problem is
hoi	Hoi.
kemana-mana	Everywhere
keju	cheese
sungguh	barely, hardly, just, scarcely, scarce
lari-lari	run
gw	Gw
lapar	hungry
cepat-cepat	Hurry up
crazy	Crazy.
indo	Indo
lakukan	do
sule	Sule
tembok	wall
matanya	His eyes
tamat	end, terminate
temennya	Friends
macam	type
pasir	sand
ganteng	handsome
suami	husband
yoga	Yoga.
telur	egg
kyt	Kyt.
rame	Rame.
utuh	intact
puzzle	Puzzle
lengket	sticky
disana	there
mei	May
kejar	chase, chase after, trail, tail, tag, give chase, dog, go after, track
smelter	Smelter
ditutup	Closed
truk	truck
canda	Canda
peduli	care
ilmu	knowledge
topik	topic
efek	effect
kegedean	too big
ngerjain	working
isu	publish, bring out, put out, issue, release
isinya	its contents
pelan-pelan	slowly
semut	ant
baru-baru	mahoe, majagua, mahagua, balibago, purau, hibiscus tiliaceus
melakukan	To do
kopi	coffee
naga	dragon, flying dragon, flying lizard
yey	Yey
buta	blind, unsighted
art	Art
estetik	aesthetic, esthetic, aesthetical, esthetical
mom	Mom
angkat	lift
gitar	guitar
grup	group
otw	OTW.
enam	six
okeh	Okay
betul-betul	true, true
pare	sour gourd
ruangan	room
hadiah	present
ko	Ko
badan	body
ngetes	Ngetes
ngakak	laugh out loud
anaknya	His child
huruf	letter
mekanik	Mechanical
jeruk	orange
cup	Cup
kasar	Rough
dilihat	Judging
tepat	appropriate
error	error
normal	straight
meja	table
mendengar	hear
care	Care.
berhasil	contract, take, get
meong	Meong
dokter	doctor
kursi	chair
bocil	Locil
tebak	guess
tersebut	the
ditunggu	awaited
version	Version.
ahmad	Ahmad
sd	SD
misalkan	Suppose
sehingga	so that
kemudian	then
heboh	up in arms
mahal	expensive
jiwa	soul
anak-anak	doll, dolly
epic	Epic.
lurus	straight
kurai	grain
bawang	onion
fitur	feature
caca	Caca
tanggal	date
rap	Rap.
nur	Nur.
muda	young
base	Base
pukul	time
nemu	found
pesawat	aircraft
bunda	mother
karya	creation
nu	nu
bunyi	sound
led	LED
antara	Among
membaca	read
enaknya	Delicious
janganlah	Don't
bacanya	read it
iki	iki.
komen	Comment
baca-baca	read
nama-nama	What is the name
berisik	noisy
matiin	Matiin
suku	ethnic group
berdiri	stand up
dc	DC
roro	Roro.
ikutin	Follow it
sma	senior high school
mengaku	confess
jawa	Java
lihat-lihat	looking around
goyang	shake
pisang	banana
cash	Cash
mimi	Mimi.
nelpon	Call
tadinya	once, formerly, at one time, erstwhile, erst
alis	eyebrow, brow, supercilium
seluruh	Own
kya	Kya.
panas	warm
sobat	Suddenly
nine	Nine
payung	umbrella
kejadian	incident, event
palu	hammer
neh	Neh
kenapa-napa	WHY-NAPA.
heel	Heel
ski	Ski
umur	age
akun	account
malu	blush, crimson, flush, redden
hasil	results
nyawa	life
banyak-banyak	much
resep	recipe, formula
jokowi	Jokowi
darah	blood
wuih	Wuih.
pecah	broken
pen	pen
soto	Soto.
jendela	window
bangga	gallant, lofty, majestic, proud
hamil	pregnant
suhu	temperature
listrik	electricity
server	Server
ribet	complicated
pikiran	thought
shadow	Shadow
wc	WC
sari	sari, saree
ketahuan	found out
al	Al.
gitu-gitu	That's so
rules	Rules
saatnya	It's time
pupuk	poultice, cataplasm, plaster
ngopi	drinking coffee
makhluk	creature
bolehlah	may I
begitulah	That's how it is
rajin	diligent
bikinin	Make it
room	Room
sadar	aware
nyangkut	stuck
pendek	short
napa	Napa.
tanaman	plant
mengapa	why
semakin	the more
nungguin	Wait
jarang	seldom
pro	pro
jalur	track
baron	baron
bocor	leaking
memakai	use
roti	bread
tas	bag
jejak	chase, chase after, trail, tail, tag, give chase, dog, go after, track
bikinnya	make it
penasaran	curious
boleh-boleh	Okay, okay
label	label
contoh	example
vs	vs.
angel	Angel.
botol	bottle
piring	dish
laku	in demand
gizi	Nutrition
nyi	Nyi.
pistol	gun
seni	art
generator	generator
kodok	frog
bahas	discuss
pantai	beach
mengambil	take
kamunya	Kamunya
check	Check
besoknya	next day
resmi	formal
maupun	And
walau	although
ujian	examination, testing
tu	Tu.
brand	Brand.
wei	Wei.
paket	package
nambah	add it
rumahku	My house
menghilang	disappear
menangis	cry
pegangan	apprehension, arrest, catch, collar, pinch, taking into custody
polisi	police
rencana	plan
nada	tone
baduy	Baduy.
tahan	stand
nyaman	comfortably
berguna	beneficial, good
tokyo	Tokyo
leader	Leader
mendapatkan	got
moderator	moderator
sampah	rubbish
karakter	character
pemalu	bashful
hammer	Hammer
muhammad	Muhammad
tangannya	His hand
kisah	story
woah	Woah.
iman	faith
stage	Stage.
tarik	pull, pulling
nengok	look
tanda-tanda	signs
bertanya	ask
angeles	Angeles
dewa	god
kidul	south
final	finale, close, closing curtain, finis
kereta	Train
plants	Plants.
ehem	hem, ahem
dua-duanya	both
imut	tiny
gerak	Motion
datsun	Datsun
masing-masing	each
tenet	Tenet
wajib	must
kehidupan	life
fix	Fix
seharusnya	adultery, criminal conversation, fornication
sialan	Damn
hafal	memorize
ac	air conditioning
pasang	rise, go up, climb
bae	Bae
latihan	practice
ngepet	A dark ritual where you summon a pig to steal other's money or treasure 
kontrol	control
tembak	shooting, shot
berantem	fight
sukanya	Look
ning	Ning.
emas	gold, golden, gilded
apel	apple
anggap	assume, presume, take for granted
raya	Raya
usaha	feat, effort, exploit
negara	state
potong	edit, blue-pencil, delete
malem	night
jauh-jauh	Fareness
rizky	Rizky
intinya	the main thing is
fotonya	His photo
kado	gift
jeju	Jeju.
deskripsi	description
saling	each other
gambarnya	picture
ahli	expert
duyung	Mermaid
panggil	Call
nikah	marry
ganggu	disturb
mantra	Mantra
dimengerti	Understandably
sejak	since
langit	sky
calon	candidate
drink	Drink
zero	Zero
masjid	Mosque
oke-oke	Okay, okay
amazing	Amazing
nginep	stay overnight
end	end
botak	bald
bayar	pay
berpikir	think, believe, consider, conceive
beda-beda	Different
wangi	beautiful
permen	candy, confect
jaga	keep
masukin	insert
ding	Ding.
jangkar	anchor
menu	menu, bill of fare, card, carte du jour, carte
city	City
sel	cell
kamera	camera, photographic camera
yi	Yi
lawan	against the clock, against time
segera	quick
tingkat	level
cabut	blackjack, twenty-one, vingt-et-un
nyamuk	mosquito
ngaji	Said
senjata	weapon
nomornya	Number
blacksmith	Blacksmith
seta	Seta.
pasrah	resigned
daging	fiber, fibre, vulcanized fiber
pancingan	inducement, fishing rod
dibikin	contrived
energi	energy
siapa-siapa	Who
inggrisnya	English
pos	post
aksi	action
membantu	help
melangkah	Stepping
ngono	Ngono
feeling	Feeling
iyah	yes
diajak	Despite
macet	congested
disebut	Called
aya	Aya
link	link
turut	In contrast
belakangnya	behind it
ndah	Ndah
ditanya	Asked
inikah	Inikah.
maret	March
lahir	born
spam	Spam
iyakah	Is not it
perasaan	feeling
tray	Tray
kongres	congress
kobokan	finger bowl
ae	Ae.
lelah	tired
depannya	front
pong	Pong
dede	Dede
nona	Miss
hubungan	connection
gantian	take turns
trus	While
sim	SIM
usai	break up, crack up
willy	Willy.
ori	ORI.
saking	Such
merek	brand
melawan	oppose
nabi	prophet
terang	light
murah	inexpensive
sisi	side
kuliah	lecture, lecturing
manggil	Call
kang	Kang.
sempurna	perfect
survei	survey
sehari	a day
jenis	type
menyerah	surrender
tidurnya	sleep
nafas	breathe, take a breath, respire, suspire
daya	power
dibuat	Made
tatakae	Tatakae
rendah	low
nda	Nda
gendut	pregnant
ajak	invite
terbaik	best
utara	north, northerly, northwards, northward
proses	process, physical process
sementara	temporary
monster	bogeyman, bugbear, bugaboo, boogeyman, booger
wahyu	revelation
kwe	Kwe.
kecap	soy sauce, soy
keempat	fourthly, fourth
bengkel	workshop
pisau	dagger, sticker
lemah	hardscrabble
bun	Bun.
keluarin	Exciting
nak	Son
nana	Nana.
asing	foreign
prank	Prank.
utama	main
kunjung	visit
dance	Dance
videonya	Video
mc	MC.
ditembak	Shot
la	la
hapus	delete
elo	Elo.
balikin	Balikin
hpnya	His mobile phone
tangki	tank, storage tank
matte	Matte.
dikira	Thinkled
jadwal	timetable
enggan	reluctant
pingin	Pingin
hilangkan	Remove it
warga	inhabitant
drive	Drive
match	Match.
liat	Look
boneka	doll
skripsi	essay
setuju	agree
pengalaman	experience
kapalnya	Ship
desain	design
jumlah	measure, quantity, amount
screenshot	Screenshot
sisa	remainder
kelapa	coconut
menuju	going to
cerita-cerita	Story-story
pain	pint
bogor	sugar palm, gomuti, gomuti palm, arenga pinnata
belok	swerve, swerving, veering
suka-suka	up to
beb	Bet
pocong	pocong
jahat	baleful, forbidding, menacing, minacious, minatory, ominous, sinister, threatening
jogja	Jogja
tolol	stupid
harga	price
wujud	actual, existent
ngeliat	see
permainan	game
tikus	mouse
berita	news
dicoba	tried
berikutnya	next
bertahan	endure
jok	car seat
pinjem	borrow
luka	wound
krimnya	the cream
hem	Hem
dasar	base
layak	worthy
beliau	he
rom	Rom
miring	crooked
lengkap	complete
milik	owned by
membawa	bring
deket-deket	Deket-near
doh	Doh
raja	king
km	kilometer, kilometre, km, klick
kacau	confused
